advertiser,year,month,amount_usd,avisos,status
AKI SUPER DESPENSA Y GRAN AKI,2026,1,26121.82,651,verificado
AKI SUPER DESPENSA Y GRAN AKI,2026,2,36362.55,1631,verificado
AKI SUPER DESPENSA Y GRAN AKI,2026,3,60540.0,2918,verificado
AKI SUPER DESPENSA Y GRAN AKI,2026,4,41168.66,1834,verificado
AKI SUPER DESPENSA Y GRAN AKI,2026,5,84123.71,3059,verificado
AKI SUPER DESPENSA Y GRAN AKI,2026,6,3741.24,151,verificado
AL FIUME CUCINA ITALIANA,2026,3,329.07,2,verificado
AL FIUME CUCINA ITALIANA,2026,5,255.95,1,verificado
AL TOQUE,2026,2,300.02,1,verificado
AL TOQUE,2026,3,624.04,3,verificado
AL TOQUE,2026,5,560.04,2,verificado
ALACENA,2026,1,24.52,2,verificado
ALACENA,2026,3,24.16,2,verificado
ALACENA,2026,5,9.92,1,verificado
ALANA FOOD PLAY,2026,3,11570.94,88,verificado
ALANA FOOD PLAY,2026,4,3271.15,36,verificado
ALASKA PET SHOP,2026,3,1248.09,6,verificado
ALASKA PET SHOP,2026,4,496.04,2,verificado
ALBA DEL BOSQUE,2026,2,3600.23,10,verificado
ALBA DEL BOSQUE,2026,3,1359.77,8,verificado
ALBA DEL BOSQUE,2026,4,1253.53,6,verificado
ALBA DEL BOSQUE,2026,5,3032.05,9,verificado
ALBEX,2026,2,300.02,1,verificado
ALBEX,2026,3,1238.71,7,verificado
ALBORNOS CERVUTRANS S.A.,2026,4,424.76,1,verificado
ALBUM CAMINO MUNDIAL BRASIL 2014,2026,4,29.12,3,verificado
ALBY STORE,2026,4,1806.0,86,verificado
ALDEAS INFANTILES SOS INTERNACIONAL,2026,2,300.02,1,verificado
ALDEAS INFANTILES SOS INTERNACIONAL,2026,3,416.03,2,verificado
ALDO SHOES,2026,2,300.02,1,verificado
ALEGRA DENTAL,2026,4,822.5,74,verificado
ALEGRA DENTAL,2026,5,1004.5,89,verificado
ALEGRA DENTAL,2026,6,122.5,11,verificado
ALES C.A.,2026,4,1768.52,1,verificado
ALESSA,2026,5,792.88,1,verificado
ALFA BIENES RAICES,2026,1,4393.92,365,verificado
ALFA BIENES RAICES,2026,2,4494.05,363,verificado
ALFA PEOPLE,2026,3,965.25,1,verificado
ALFA RADIO,2026,3,1163.4,79,verificado
ALFA RADIO,2026,4,2017.38,98,verificado
ALFA SUPER STEREO FM,2026,4,11.38,1,verificado
ALFANET,2026,3,995.74,4,verificado
ALFAPARF,2026,2,12630.23,49,verificado
ALHAMBRA SHOPPING,2026,2,201.1,1,verificado
ALHAMBRA SHOPPING,2026,3,329.07,2,verificado
ALHAMBRA SHOPPING,2026,4,1084.86,1,verificado
ALIA (BANCO SOLIDARIO),2026,2,106.02,12,verificado
ALIA (BANCO SOLIDARIO),2026,3,26.26,3,verificado
ALIA (BANCO SOLIDARIO),2026,4,4068.95,20,verificado
ALIQORA,2026,5,198.41,2,verificado
ALIQORA,2026,6,89.98,1,verificado
ALITAS DEL CADILLAC,2026,3,416.03,2,verificado
ALITAS ESPRESS GYE,2026,2,1206.61,6,verificado
ALITAS ESPRESS GYE,2026,4,804.41,4,verificado
ALKA SELTZER,2026,5,2405.53,104,verificado
ALKA SELTZER,2026,6,248.29,10,verificado
ALL NATURAL,2026,1,3186.54,1,verificado
ALL NATURAL,2026,2,4022.01,18,verificado
ALL NATURAL,2026,5,2622.17,16,verificado
ALL STOCK,2026,5,560.04,2,verificado
ALL TECNOLOGYCS,2026,3,416.03,2,verificado
ALLEGRA,2026,2,6475.89,29,verificado
ALLEGRA,2026,3,5706.81,21,verificado
ALLEGRA,2026,4,8332.15,23,verificado
ALLEGRA,2026,5,11661.09,34,verificado
ALLI MIKUNA ECUADORIAN TOUR,2026,1,275.66,22,verificado
ALLI MIKUNA ECUADORIAN TOUR,2026,2,503.36,40,verificado
ALLI MIKUNA ECUADORIAN TOUR,2026,3,3734.43,293,verificado
ALLI MIKUNA ECUADORIAN TOUR,2026,4,2175.25,113,verificado
ALLI MIKUNA ECUADORIAN TOUR,2026,5,2849.0,148,verificado
ALLPA GYE,2026,2,201.1,1,verificado
ALLPA GYE,2026,4,804.41,4,verificado
ALM. ESPINOZA,2026,2,935.6,68,verificado
ALM. ESPINOZA,2026,3,823.92,52,verificado
ALM. ESPINOZA,2026,5,911.2,42,verificado
ALM. ESPINOZA,2026,6,38.5,2,verificado
ALMA NEGRA,2026,3,329.07,2,verificado
ALMACEN ESTUARDO SANCHEZ,2026,2,20073.12,126,verificado
ALMACEN ESTUARDO SANCHEZ,2026,3,8810.77,48,verificado
ALMACEN ESTUARDO SANCHEZ,2026,4,4972.98,66,verificado
ALMACEN ESTUARDO SANCHEZ,2026,5,3485.91,52,verificado
ALMACEN ESTUARDO SANCHEZ,2026,6,560.04,2,verificado
ALMACEN JAPON,2026,2,1101.17,4,verificado
ALMACEN JAPON,2026,3,2201.2,11,verificado
ALMACEN JAPON,2026,4,1193.18,5,verificado
ALMACEN JAPON,2026,5,815.98,3,verificado
ALMACEN NATASHA,2026,6,255.95,1,verificado
ALMACENES ANDERSON,2026,2,201.1,1,verificado
ALMACENES BOYACA,2026,1,2910.11,43,verificado
ALMACENES BOYACA,2026,2,2752.51,35,verificado
ALMACENES BOYACA,2026,3,1956.2,22,verificado
ALMACENES BOYACA,2026,4,4512.17,34,verificado
ALMACENES BOYACA,2026,5,7335.84,58,verificado
ALMACENES BUENHOGAR,2026,5,280.02,1,verificado
ALMACENES COSAS DE CASA,2026,1,534.58,26,verificado
ALMACENES COSAS DE CASA,2026,2,2621.64,92,verificado
ALMACENES COSAS DE CASA,2026,3,1784.97,98,verificado
ALMACENES COSAS DE CASA,2026,4,1187.02,37,verificado
ALMACENES COSAS DE CASA,2026,5,2137.36,96,verificado
ALMACENES COSAS DE CASA,2026,6,82.44,5,verificado
ALMACENES ESPAÑA,2026,3,3838.89,21,verificado
ALMACENES ESPAÑA,2026,5,3543.95,13,verificado
ALMACENES ESPAÑA,2026,6,255.95,1,verificado
ALMACENES ESPINOZA,2026,5,250.25,13,verificado
ALMACENES ESPINOZA,2026,6,7.57,1,verificado
ALMACENES MIRNA,2026,4,603.3,3,verificado
ALMACENES MIRNA,2026,5,280.02,1,verificado
ALMACENES SANTA CLARA,2026,3,442.46,2,verificado
ALMACENES SILVITA,2026,3,624.04,3,verificado
ALMACOPIO,2026,3,254.53,1,verificado
ALMACOPIO,2026,5,119.5,1,verificado
ALMACOPIO,2026,6,175.5,1,verificado
ALMAGRO,2026,3,424.76,1,verificado
ALMAX,2026,2,3418.73,17,verificado
ALMAX,2026,3,5752.79,31,verificado
ALMAX,2026,4,5440.59,3,verificado
ALMAX,2026,5,21887.46,89,verificado
ALMAX,2026,6,915.96,10,verificado
ALMAX FORUM,2026,4,1244.5,1,verificado
ALOHA CAFE,2026,5,1791.62,7,verificado
ALOHA MENTAL ARITHMETIC,2026,2,2937.33,41,verificado
ALOHA MENTAL ARITHMETIC,2026,3,225.03,6,verificado
ALOHA MENTAL ARITHMETIC,2026,4,121.0,11,verificado
ALOHA MENTAL ARITHMETIC,2026,5,425.94,9,verificado
ALPECIN,2026,2,804.41,4,verificado
ALPECIN,2026,4,496.04,2,verificado
ALPECIN,2026,5,511.89,2,verificado
ALPESO,2026,3,164.54,1,verificado
ALPHA BUILDERS BY HOMEPLUS,2026,2,221.23,1,verificado
ALPHA BUILDERS BY HOMEPLUS,2026,3,13937.61,22,verificado
ALPHA BUILDERS BY HOMEPLUS,2026,4,26836.63,35,verificado
ALPHA BUILDERS BY HOMEPLUS,2026,5,21570.1,28,verificado
ALPHA BUILDERS BY HOMEPLUS,2026,6,995.54,1,verificado
ALPINA,2026,2,1557.41,3,verificado
ALPRECIO,2026,3,961.64,6,verificado
ALPRECIO,2026,4,1253.52,5,verificado
ALPRECIO,2026,5,336.04,1,verificado
ALRAZ,2026,3,329.07,2,verificado
ALTA MODA,2026,2,15515.17,50,verificado
ALTA MODA,2026,3,329.07,2,verificado
ALTALA,2026,2,965.25,1,verificado
ALTALA,2026,4,804.41,4,verificado
ALTIORACORP,2026,3,1930.5,2,verificado
ALTIUS MEDICAL,2026,2,603.3,3,verificado
ALUHOME,2026,2,1005.51,5,verificado
ALUHOME,2026,3,493.61,3,verificado
ALUSIGNPANEL,2026,2,603.3,3,verificado
ALUSIGNPANEL,2026,5,511.89,2,verificado
ALUSWEET,2026,2,300.02,1,verificado
ALUSWEET,2026,3,372.55,2,verificado
ALVAREZ BARBA,2026,2,263.25,1,verificado
AM GLASSES,2026,1,223.2,12,verificado
AM GLASSES,2026,2,55.8,3,verificado
AM GLASSES,2026,4,56.0,2,verificado
AM GLASSES,2026,5,56.0,2,verificado
AMA SEGUROS AMERICA,2026,3,1642.82,2,verificado
AMA SEGUROS AMERICA,2026,4,1364.22,1,verificado
AMA SEGUROS AMERICA,2026,5,560.04,2,verificado
AMALIE,2026,1,472.6,87,verificado
AMALIE,2026,2,400.97,67,verificado
AMALIE,2026,3,8484.52,116,verificado
AMALIE,2026,4,4706.83,86,verificado
AMALIE,2026,5,830.4,84,verificado
AMALIE,2026,6,74.8,8,verificado
AMATEA TEA SHOP,2026,3,329.07,2,verificado
AMAZON AROMA,2026,2,20163.32,78,verificado
AMAZON AROMA,2026,3,14710.97,67,verificado
AMAZON AROMA,2026,4,11093.83,42,verificado
