advertiser,year,month,amount_usd,avisos,status
LANDA,2026,3,1775.8,10,verificado
LANDA,2026,4,1206.6,5,verificado
LANDA,2026,5,511.89,2,verificado
LANPAC CIA. LTDA.,2026,4,57.36,1,verificado
LAS COSTILLAS DEL DON,2026,3,9.34,2,verificado
LAS COSTILLAS DEL DON,2026,4,22.11,2,verificado
LAS FRAGANCIAS,2026,2,22039.59,82,verificado
LAS FRAGANCIAS,2026,3,23066.52,110,verificado
LAS FRAGANCIAS,2026,4,11445.84,51,verificado
LAS FRAGANCIAS,2026,5,9675.87,37,verificado
LAS MULATAS,2026,3,208.01,1,verificado
LAS SEMINARIO,2026,3,329.07,2,verificado
LASCANO SANCHEZ IMPORTACIONES,2026,2,201.1,1,verificado
LASCANO SANCHEZ IMPORTACIONES,2026,3,329.07,2,verificado
LASCANO SANCHEZ IMPORTACIONES,2026,5,255.95,1,verificado
LASER LUXE,2026,2,402.2,2,verificado
LATAM,2026,1,38.89,3,verificado
LATAM,2026,2,16456.17,76,verificado
LATAM,2026,3,24085.14,104,verificado
LATAM,2026,4,26599.67,87,verificado
LATAM,2026,5,34994.93,592,verificado
LATAM,2026,6,1711.5,48,verificado
LATINA SEGUROS,2026,2,10925.76,41,verificado
LATINA SEGUROS,2026,3,7692.26,42,verificado
LATINA SEGUROS,2026,4,16793.42,68,verificado
LATINA SEGUROS,2026,5,18102.4,64,verificado
LATITUD CERO,2026,2,2614.32,13,verificado
LATITUD CERO,2026,4,1300.44,6,verificado
LAURA,2026,1,20.09,4,verificado
LAURA,2026,2,27.38,2,verificado
LAURA,2026,4,402.2,2,verificado
LAVA,2026,2,201.1,1,verificado
LAVA,2026,3,675.51,37,verificado
LAVA,2026,4,7239.43,158,verificado
LAVA,2026,5,335.98,39,verificado
LAVA,2026,6,312.99,4,verificado
LAVA TODO,2026,1,15885.95,104,verificado
LAVA TODO,2026,2,23005.43,139,verificado
LAVA TODO,2026,3,50738.59,497,verificado
LAVA TODO,2026,4,7731.53,282,verificado
LAVA TODO,2026,6,708.15,59,verificado
LAVALLETTO,2026,2,1800.12,5,verificado
LAVALLETTO,2026,3,1872.13,9,verificado
LAVALLETTO,2026,4,744.06,3,verificado
LAVAZZA,2026,5,6910.52,27,verificado
LAVAZZA,2026,6,511.89,2,verificado
LAVCA,2026,3,4836.33,24,verificado
LAVUU,2026,5,511.89,2,verificado
LAZY MONI,2026,3,802.45,139,verificado
LAZY MONI,2026,4,3388.66,173,verificado
LC CARR TELEFONIA,2026,1,417.53,41,verificado
LC CARR TELEFONIA,2026,2,407.35,40,verificado
LC CARR TELEFONIA,2026,3,427.71,42,verificado
LC CARR TELEFONIA,2026,4,359.9,44,verificado
LC CARR TELEFONIA,2026,5,335.36,41,verificado
LC CARR TELEFONIA,2026,6,24.54,3,verificado
LE PARC HOTEL,2026,1,220.67,2,verificado
LE PARC HOTEL,2026,2,869.21,85,verificado
LE PARC HOTEL,2026,3,1950.34,129,verificado
LE PARC HOTEL,2026,4,1422.22,127,verificado
LE PARC HOTEL,2026,5,1553.32,125,verificado
LE PARC HOTEL,2026,6,108.0,12,verificado
LEDVANCE,2026,2,7802.86,34,verificado
LEDVANCE,2026,3,12315.04,63,verificado
LEDVANCE,2026,4,4826.37,14,verificado
LEDVANCE,2026,5,5727.71,20,verificado
LEE JEANS,2026,2,323.56,3,verificado
LEE JEANS,2026,3,329.07,2,verificado
LEE JEANS,2026,4,1099.34,5,verificado
LEE JEANS,2026,5,511.89,2,verificado
LEGNO,2026,2,3217.62,16,verificado
LEGNO,2026,4,744.06,3,verificado
LEMON FLU,2026,5,767.84,3,verificado
LEMON FLU,2026,6,280.02,1,verificado
LEON RODRIGUEZ,2026,3,208.01,1,verificado
LEON RODRIGUEZ,2026,4,1407.69,5,verificado
LEON RODRIGUEZ,2026,5,560.04,2,verificado
LEONISA,2026,2,300.02,1,verificado
LEOTEX,2026,1,25.06,2,verificado
LEOTEX,2026,2,651.56,52,verificado
LETERAGO DEL ECUADOR,2026,4,965.25,1,verificado
LETIAT4,2026,2,804.41,4,verificado
LETIAT4,2026,3,1732.32,10,verificado
LETIAT4,2026,4,402.2,2,verificado
LETIAT4,2026,5,1071.93,4,verificado
LETIXER,2026,2,1005.51,5,verificado
LETIXER,2026,3,832.06,4,verificado
LEVAPAN,2026,2,3300.2,8,verificado
LEVAPAN,2026,3,1456.1,7,verificado
LEVAPAN,2026,4,2480.19,10,verificado
LEVAPAN,2026,5,5455.94,20,verificado
LEVELX,2026,3,624.04,3,verificado
LEVITON,2026,4,1240.09,5,verificado
LEVITON,2026,6,280.02,1,verificado
LEXUS EDITORES,2026,3,416.03,2,verificado
LG,2026,2,6548.79,243,verificado
LG,2026,3,7759.2,557,verificado
LG,2026,4,20532.71,96,verificado
LG,2026,5,26865.65,601,verificado
LG,2026,6,1185.7,44,verificado
LIBERPESA,2026,4,342.21,1,verificado
LIBRERIA COQUITO,2026,5,560.04,2,verificado
LIBRERIA ESPAÑOLA,2026,2,134.38,17,verificado
LIBRERIA M&M,2026,6,280.02,1,verificado
LIBRERIA SAN PABLO,2026,2,2400.17,8,verificado
LIBRERIA SAN PABLO,2026,3,208.01,1,verificado
LIBRERIA SAN PABLO,2026,4,4526.35,19,verificado
LIBRERIA SAN PABLO,2026,5,4200.28,14,verificado
LIBRERIA URDESA,2026,2,201.1,1,verificado
LIBRERIA URDESA,2026,5,255.95,1,verificado
LIBRIMUNDI,2026,2,201.1,1,verificado
LICEO PANAMERICANO,2026,2,1229.89,118,verificado
LICEO PANAMERICANO,2026,3,17.92,3,verificado
LICEO PANAMERICANO,2026,4,2052.0,1,verificado
LICEO PANAMERICANO,2026,5,280.02,1,verificado
LICOR CRISTAL,2026,2,1302.27,5,verificado
LICOR CRISTAL,2026,3,165.0,2,verificado
LICOR CRISTAL,2026,4,496.04,2,verificado
LICOR CRISTAL,2026,5,3637.82,15,verificado
LIDER (DANEC),2026,2,1203.35,5,verificado
LIDERAZGO,2026,2,300.02,1,verificado
LIDERAZGO,2026,4,2232.17,9,verificado
LIDERAZGO,2026,5,1120.08,4,verificado
LIDERAZGO PROACTIVO,2026,5,417.51,9,verificado
LIFE,2026,4,359.64,1,verificado
LIFE,2026,5,263.52,1,verificado
LIFE & HOPE,2026,2,742.69,4,verificado
LIFE & HOPE,2026,4,689.45,4,verificado
LIFE COLLEGE INTERNACIONAL,2026,4,1883.19,114,verificado
LIFE COLLEGE INTERNACIONAL,2026,5,2698.76,160,verificado
LIFE FOODS,2026,3,1480.81,6,verificado
LIFE TOWN,2026,3,208.01,1,verificado
LIFE TRIP,2026,1,743.37,66,verificado
LIGA DEP. CANTONAL DE BALZAR,2026,4,376.43,1,verificado
LIGA DEP. PARROQUIAL RURAL PUEMBO,2026,2,143.4,1,verificado
LILI PINK,2026,3,1248.09,6,verificado
LINEAS AEREAS NACIONALES ECUADOR S.A,2026,3,143.4,1,verificado
LINIE DESIGN STUDIO,2026,2,201.1,1,verificado
LINIMENTO OLIMPICO,2026,1,532.23,65,verificado
LINIMENTO OLIMPICO,2026,2,144.56,18,verificado
LINIMENTO OLIMPICO,2026,5,80.64,8,verificado
LINIMENTO OLIMPICO,2026,6,31.36,3,verificado
LIPOFIT EXTREME,2026,2,201.1,1,verificado
LIRAMBIENT ALCOHOL MULTIUSOS,2026,5,767.84,3,verificado
LIRIOS EVENTOS,2026,3,256.66,10,verificado
LIRIOS EVENTOS,2026,4,69.83,2,verificado
LIRIS,2026,4,143.4,1,verificado
LISAP MILANO,2026,2,201.1,1,verificado
LISOLA VILLAGE,2026,2,201.1,1,verificado
LISOLA VILLAGE,2026,5,63.99,1,verificado
LISTA,2026,2,4711.21,19,verificado
LISTA,2026,3,1862.75,10,verificado
LISTA,2026,4,7802.6,26,verificado
LISTA,2026,5,3360.23,12,verificado
LISTO!,2026,4,2352.87,11,verificado
LISTO!,2026,5,4311.78,15,verificado
LITTLE ITALY,2026,2,603.3,3,verificado
LITTLEMIC,2026,2,804.41,4,verificado
LITTLEMIC,2026,3,987.22,6,verificado
LITTLEMIC,2026,4,402.2,2,verificado
LIU JO,2026,1,1716.32,14,verificado
LIU JO,2026,2,2000.5,16,verificado
LIU JO,2026,3,1570.33,13,verificado
LIU JO,2026,4,1989.75,20,verificado
LIU JO,2026,5,1190.48,12,verificado
LIU JO,2026,6,89.98,1,verificado
LIUGONG,2026,3,208.01,1,verificado
LIV,2026,2,7239.64,35,verificado
LIV,2026,3,6910.5,39,verificado
LIV,2026,4,3820.9,15,verificado
LIV,2026,5,11285.66,43,verificado
LIV,2026,6,511.89,2,verificado
LIVAN,2026,1,11375.93,1383,verificado
LIVAN,2026,2,10451.84,1113,verificado
LIVAN,2026,3,849.8,52,verificado
LIVE WELL,2026,3,416.03,2,verificado
LIVIN SEGUROS,2026,3,372.55,2,verificado
LIVIN SEGUROS,2026,5,280.02,1,verificado
LIVING NATURAL,2026,3,2356.36,13,verificado
LIVING NATURAL,2026,4,2198.67,8,verificado
LIZZE,2026,5,319.93,2,verificado
LLANTA SEGURA,2026,5,840.06,3,verificado
LLANTAS & LLANTAS EFRAIN JAYA,2026,2,75.26,4,verificado
LLANTAS 593,2026,2,7.67,1,verificado
LLANTAS247.COM,2026,1,602.18,64,verificado
LLANTAS247.COM,2026,2,4142.34,194,verificado
LLANTAS247.COM,2026,3,521.01,63,verificado
LLANTAS247.COM,2026,4,612.26,4,verificado
LLANTAS247.COM,2026,5,35.84,4,verificado
LLANTAS247.COM,2026,6,5.52,1,verificado
LO NUESTRO,2026,2,1203.33,4,verificado
LOBBS & C,2026,4,4424.22,19,verificado
LOCALIZA RENTA CAR,2026,2,4753.34,36,verificado
LOCALIZA RENTA CAR,2026,3,11455.85,74,verificado
LOCALIZA RENTA CAR,2026,4,11175.22,51,verificado
LOCALIZA RENTA CAR,2026,5,3817.69,33,verificado
LOCALIZA RENTA CAR,2026,6,280.02,1,verificado
LOCOS POR LA RISA,2026,1,1014.93,27,verificado
LOCOS POR LA RISA,2026,2,75.18,2,verificado
LOGISTIK,2026,5,7.7,1,verificado
LOGITECH,2026,2,804.41,4,verificado
LOGITECH,2026,3,2468.04,15,verificado
LOGOS ACADEMY DISCOVERY CAMPUS,2026,4,1488.11,6,verificado
LOGOS ACADEMY DISCOVERY CAMPUS,2026,5,1400.1,5,verificado
LOJAVENTURA,2026,1,142.29,18,verificado
LOMECAN V,2026,1,30739.35,757,verificado
LOMECAN V,2026,2,32597.14,789,verificado
LOMECAN V,2026,3,59268.82,1540,verificado
LOMECAN V,2026,4,39400.76,791,verificado
LOMECAN V,2026,5,53708.19,733,verificado
LOMECAN V,2026,6,4484.95,65,verificado
LONCHYS,2026,2,1407.71,7,verificado
LONCHYS,2026,3,8248.6,31,verificado
LONCHYS,2026,4,6355.33,10,verificado
LORENTI,2026,3,329.07,2,verificado
LORENTI,2026,4,603.3,3,verificado
LORI MARKET,2026,2,300.02,1,verificado
LOS 40 ECUADOR,2026,1,852.4,1,verificado
LOS 40 ECUADOR,2026,3,852.4,1,verificado
LOS 40 ECUADOR,2026,5,852.4,1,verificado
LOS ANDES,2026,2,28782.67,363,verificado
LOS ANDES,2026,3,21698.32,442,verificado
LOS ANDES,2026,4,12757.61,239,verificado
LOS ANDES,2026,5,11799.86,215,verificado
LOS ANDES,2026,6,1096.02,18,verificado
LOS ARBOLITOS,2026,6,23.33,1,verificado
LOS ARBOLITOS 2,2026,6,26.88,3,verificado
LOS CEVICHES DE LA RUMIÑAHUI,2026,2,1075.22,50,verificado
LOS CEVICHES DE LA RUMIÑAHUI,2026,3,2833.64,233,verificado
LOS CEVICHES DE LA RUMIÑAHUI,2026,4,4646.76,301,verificado
LOS CEVICHES DE LA RUMIÑAHUI,2026,5,5125.61,349,verificado
LOS CEVICHES DE LA RUMIÑAHUI,2026,6,254.33,16,verificado
LOS CHORIS,2026,4,1005.51,5,verificado
LOS COQUEIROS,2026,2,903.33,4,verificado
LOS COQUEIROS,2026,3,1456.1,7,verificado
LOS COQUEIROS,2026,4,3620.07,10,verificado
LOS COQUEIROS,2026,5,280.02,1,verificado
LOS COQUEIROS,2026,6,144.15,10,verificado
LOS PRADOS,2026,3,1249.66,108,verificado
LOS PRADOS,2026,5,1811.17,112,verificado
LOS SIMPSON,2026,1,49.04,2,verificado
LOS TIOS,2026,4,201.1,1,verificado
LOS TIOS,2026,5,1960.13,7,verificado
LOS TULIPANES,2026,2,23.71,3,verificado
LOS TULIPANES,2026,3,292.49,37,verificado
LOTERIA NACIONAL,2026,1,12825.65,110,verificado
LOTERIA NACIONAL,2026,2,527.46,111,verificado
LOTERIA NACIONAL,2026,3,4024.77,314,verificado
LOTERIA NACIONAL,2026,4,53359.72,1586,verificado
LOTERIA NACIONAL,2026,5,142450.02,3083,verificado
LOTERIA NACIONAL,2026,6,1557.87,24,verificado
LOTTO,2026,1,494.67,77,verificado
LOTTO,2026,2,2516.09,322,verificado
LOTTO,2026,3,11275.05,1263,verificado
LOTTO,2026,4,2079.37,166,verificado
LOTTO,2026,5,1240.86,25,verificado
LOVE,2026,4,2835.42,105,verificado
LOVE,2026,5,3436.73,94,verificado
LOVE CLOTHING,2026,4,248.02,1,verificado
LOVE CLOTHING,2026,5,280.02,1,verificado
LUBARE,2026,3,658.14,4,verificado
LUBARE,2026,4,201.1,1,verificado
LUBRICANTE UBX,2026,1,125.44,14,verificado
LUBRICANTE UBX,2026,2,746.36,72,verificado
LUBRICANTE UBX,2026,3,824.72,79,verificado
LUBRICANTE UBX,2026,4,62.72,6,verificado
LUBRICANTES CATERPILAR,2026,1,8.96,1,verificado
LUBRICANTES LM,2026,2,1032.56,2,verificado
LUBRICANTES LM JR,2026,2,627.1,2,verificado
LUBRISA S.A.,2026,3,286.8,2,verificado
LUCIA PIE HOUSE & GRILL,2026,2,300.02,1,verificado
LUMENIA IMPORT. & DISTRIB.,2026,2,804.41,4,verificado
LUMINANCE,2026,1,12301.47,86,verificado
LUMINANCE,2026,2,20358.42,150,verificado
LUMMIA,2026,2,1809.91,9,verificado
LUMMIA,2026,4,201.1,1,verificado
LUNA FLOWERS,2026,5,255.95,1,verificado
LUNA VET,2026,2,368.6,44,verificado
LUNA VET,2026,3,527.76,63,verificado
LUNA VET,2026,4,1032.28,65,verificado
LUNA VET,2026,5,968.76,61,verificado
LUNA VET,2026,6,95.29,6,verificado
LUNAE,2026,4,402.2,2,verificado
LUNDIN GOLD,2026,2,4203.39,9,verificado
LUNDIN GOLD,2026,3,20366.74,58,verificado
LUNDIN GOLD,2026,4,2019.85,6,verificado
LUNDIN GOLD,2026,5,18903.1,51,verificado
LUVIS LAGRIMAS NATURALES,2026,1,6988.63,28,verificado
LUVIS LAGRIMAS NATURALES,2026,2,32905.13,109,verificado
LUVIS LAGRIMAS NATURALES,2026,3,8023.34,39,verificado
LUVIS LAGRIMAS NATURALES,2026,4,7735.2,22,verificado
LUVIS LAGRIMAS NATURALES,2026,5,6328.8,18,verificado
LUX,2026,3,1076.62,11,verificado
LUXOR INMOBILIARIA,2026,2,600.04,2,verificado
LUXURY DREANS,2026,5,36.59,3,verificado
LUXUS OPTICAS,2026,4,248.02,1,verificado
LYNK & CO,2026,2,965.25,1,verificado
LYNK & CO,2026,4,8582.61,54,verificado
LYNK & CO,2026,5,3982.94,9,verificado
LYNK & CO,2026,6,1240.56,3,verificado
L` ISOLA,2026,2,201.1,1,verificado
L`BEL,2026,2,46218.21,507,verificado
L`BEL,2026,3,78019.83,909,verificado
L`BEL,2026,4,61810.68,751,verificado
L`BEL,2026,5,79376.74,952,verificado
L´OCCITANE,2026,5,1023.78,4,verificado
L´OREAL,2026,2,402.2,2,verificado
L´OREAL,2026,3,1522.18,7,verificado
L´OREAL,2026,4,14.4,1,verificado
L´OREAL,2026,5,255.95,1,verificado
M & M TROFEOS DEPORTIVOS,2026,1,49.44,10,verificado
M & M TROFEOS DEPORTIVOS,2026,2,25.43,6,verificado
M & M TROFEOS DEPORTIVOS,2026,3,42.38,10,verificado
M & M TROFEOS DEPORTIVOS,2026,4,13.15,8,verificado
M & M TROFEOS DEPORTIVOS,2026,5,18.75,10,verificado
M.A.C.,2026,3,519.83,59,verificado
M.A.C.,2026,4,1137.02,86,verificado
M.A.C.,2026,5,738.46,56,verificado
M.A.C.,2026,6,97.22,8,verificado
MABE,2026,2,29.16,2,verificado
MABE,2026,3,122.62,8,verificado
MABE,2026,4,35.95,4,verificado
MABE,2026,5,137.73,8,verificado
MAC ACCESS,2026,6,280.02,1,verificado
MAC BATERIAS,2026,1,450.58,51,verificado
MAC BATERIAS,2026,2,450.58,51,verificado
MAC SECURITY,2026,1,51.39,27,verificado
MAC SECURITY,2026,2,14.02,15,verificado
MAC SECURITY,2026,3,10.28,11,verificado
MAC SECURITY,2026,4,26.53,12,verificado
MAC SECURITY,2026,5,30.96,14,verificado
MAC SECURITY,2026,6,4.42,2,verificado
MACK,2026,2,1800.13,6,verificado
MACK,2026,3,416.03,2,verificado
MACK,2026,5,1120.08,4,verificado
MACROHIERRO,2026,1,518.49,36,verificado
MACROHIERRO,2026,2,676.92,47,verificado
MACROHIERRO,2026,3,907.36,63,verificado
MACROHIERRO,2026,4,1176.0,56,verificado
MACROHIERRO,2026,5,1092.0,52,verificado
MACROHIERRO,2026,6,147.0,7,verificado
MACWORLD,2026,2,402.2,2,verificado
MADILU,2026,3,329.07,2,verificado
MADILU,2026,5,1260.09,6,verificado
MAG AUTOS,2026,4,150.97,9,verificado
MAG AUTOS,2026,5,502.1,16,verificado
MAG AUTOS,2026,6,42.75,1,verificado
MAGGI,2026,1,11698.69,152,verificado
MAGGI,2026,2,99497.04,1104,verificado
MAGGI,2026,3,121606.6,1723,verificado
MAGGI,2026,4,82184.43,948,verificado
MAGGI,2026,5,188703.12,3138,verificado
MAGGI,2026,6,16246.83,280,verificado
MAGMA BY KG,2026,3,329.07,2,verificado
MAGMA BY KG,2026,4,1809.91,9,verificado
MAGMA BY KG,2026,5,1023.78,4,verificado
MAGNALAB,2026,2,603.3,3,verificado
MAGNOLIAS GARDEN,2026,3,64.64,2,verificado
MAGNUS,2026,2,5973.25,6,verificado
MAGNUS,2026,3,1327.39,2,verificado
MAICAO EXPORTADORA,2026,2,600.04,2,verificado
MAICAO EXPORTADORA,2026,3,1359.76,7,verificado
MAIN COURT,2026,4,50.28,1,verificado
MAIN WORD PRINT,2026,2,393.49,30,verificado
MAIN WORD PRINT,2026,3,1232.93,94,verificado
MAIN WORD PRINT,2026,4,1320.0,110,verificado
MAIN WORD PRINT,2026,5,1248.0,104,verificado
MAIN WORD PRINT,2026,6,108.0,9,verificado
MAIZABROSA,2026,2,9600.66,30,verificado
MAIZABROSA,2026,3,208.01,1,verificado
MAJONI,2026,2,2106.67,9,verificado
MAJONI,2026,3,416.03,2,verificado
MAKI SUSHI BAR,2026,1,17.77,3,verificado
MAKI SUSHI BAR,2026,2,23.7,4,verificado
MAKI SUSHI BAR,2026,3,5.92,1,verificado
MAKIA,2026,1,183.68,31,verificado
MAKIA,2026,2,396.98,67,verificado
MAKIA,2026,3,385.12,65,verificado
MAKRO INMOB.,2026,1,109.15,1,verificado
MALECON 2000/MALECON DEL SALADO,2026,1,119.22,16,verificado
MALECON 2000/MALECON DEL SALADO,2026,2,2.63,2,verificado
MALECON 2000/MALECON DEL SALADO,2026,3,6.59,5,verificado
MALECON 2000/MALECON DEL SALADO,2026,4,7.28,5,verificado
MALECON 2000/MALECON DEL SALADO,2026,5,10.2,7,verificado
MALECON DEL SALADO,2026,1,1.32,1,verificado
MALECON DEL SALADO,2026,2,3.95,3,verificado
MALECON DEL SALADO,2026,5,8.74,6,verificado
MALL DEL ALTO,2026,2,7005.91,23,verificado
MALL DEL ALTO,2026,3,4523.43,19,verificado
MALL DEL ALTO,2026,4,248.02,1,verificado
MALL DEL ALTO,2026,5,9172.42,269,verificado
MALL DEL ALTO,2026,6,429.48,36,verificado
MALL DEL NORTE,2026,1,898.19,115,verificado
MALL DEL NORTE,2026,3,1896.85,11,verificado
MALL DEL NORTE,2026,4,10896.47,417,verificado
MALL DEL NORTE,2026,5,18176.44,249,verificado
MALL DEL NORTE,2026,6,1991.09,4,verificado
MALL DEL PACIFICO,2026,3,416.03,2,verificado
MALL DEL PACIFICO,2026,4,248.02,1,verificado
MALL DEL PACIFICO,2026,5,630.04,3,verificado
MALL DEL RIO,2026,1,4479.79,551,verificado
MALL DEL RIO,2026,2,8824.03,480,verificado
MALL DEL RIO,2026,3,10063.49,480,verificado
MALL DEL RIO,2026,4,11114.25,391,verificado
MALL DEL RIO,2026,5,13418.5,407,verificado
MALL DEL RIO,2026,6,478.0,39,verificado
MALL DEL SOL,2026,2,1401.19,5,verificado
MALL DEL SOL,2026,3,3933.5,18,verificado
MALL DEL SOL,2026,4,8640.49,30,verificado
MALL DEL SOL,2026,5,23498.49,157,verificado
MALL DEL SOL,2026,6,602.5,27,verificado
MALL DEL SUR,2026,3,3195.51,3,verificado
MALL DEL SUR,2026,4,4695.28,93,verificado
MALL DEL SUR,2026,5,3123.14,39,verificado
MALL DEL SUR,2026,6,280.02,1,verificado
MALL EL FORTIN,2026,1,170.52,40,verificado
MALL EL FORTIN,2026,2,170.52,40,verificado
MALL EL FORTIN,2026,3,294.15,69,verificado
MALL EL FORTIN,2026,4,1348.47,165,verificado
MALL EL FORTIN,2026,5,3822.35,404,verificado
MALL EL FORTIN,2026,6,387.37,43,verificado
MALL EL JARDIN,2026,1,1820.62,269,verificado
MALL EL JARDIN,2026,2,3275.35,370,verificado
MALL EL JARDIN,2026,3,3531.77,441,verificado
MALL EL JARDIN,2026,4,5521.66,439,verificado
MALL EL JARDIN,2026,5,6900.89,654,verificado
MALL EL JARDIN,2026,6,840.96,49,verificado
MAMBO DOG,2026,3,164.54,1,verificado
MAMIT,2026,2,402.2,2,verificado
MAMIT,2026,5,511.89,2,verificado
MAMITAS S.O.S,2026,4,575.2,2,verificado
MANA (ORIENTAL),2026,2,4203.4,6,verificado
MANAVISION,2026,1,2995.33,28,verificado
MANAVISION,2026,2,1420.94,19,verificado
MANAVISION,2026,3,1993.9,24,verificado
MANAVISION,2026,4,1406.13,21,verificado
MANAVISION,2026,5,881.82,10,verificado
MANCASA,2026,2,402.2,2,verificado
MANCASA,2026,3,1480.82,9,verificado
MANG,2026,4,603.3,3,verificado
MANG,2026,5,255.95,1,verificado
MANGIARE,2026,3,329.07,2,verificado
MANGLERO TWO,2026,2,1407.71,7,verificado
MANGO (BOUTIQUE),2026,4,1480.4,1,verificado
MANGO (ROPA),2026,4,402.2,2,verificado
MANICHO,2026,2,1704.79,1,verificado
MANICHO,2026,5,4340.3,17,verificado
MANPOWER,2026,4,201.1,1,verificado
MANSION MAMUSKA,2026,3,148.12,25,verificado
MANSUERA,2026,2,300.02,1,verificado
MANSUERA,2026,3,416.03,2,verificado
MANSUERA,2026,5,560.04,2,verificado
MANSUERA,2026,6,280.02,1,verificado
MANTA HOSP. CENTER,2026,2,1002.25,4,verificado
MANTA HOSP. CENTER,2026,3,1204.61,6,verificado
MANTA HOSP. CENTER,2026,4,1146.26,5,verificado
MANTA HOSP. CENTER,2026,5,840.06,3,verificado
MANTA HOSP. CENTER,2026,6,280.02,1,verificado
MAPEC,2026,3,329.07,2,verificado
MAQUITEX CORP,2026,4,402.2,2,verificado
MAQUITEX CORP,2026,5,5886.74,22,verificado
MAR Y SAL,2026,3,152.16,18,verificado
MARA WOMEN,2026,2,201.1,1,verificado
MARA WOMEN,2026,5,255.95,1,verificado
MARATHON SPORT,2026,1,3306.8,356,verificado
MARATHON SPORT,2026,2,17443.74,548,verificado
MARATHON SPORT,2026,3,34601.77,1158,verificado
MARATHON SPORT,2026,4,36086.55,985,verificado
MARATHON SPORT,2026,5,46944.39,1333,verificado
MARATHON SPORT,2026,6,929.45,34,verificado
MARBOL PLAZA,2026,2,1809.91,9,verificado
MARBOL PLAZA,2026,3,6581.41,32,verificado
MARBOL PLAZA,2026,4,7038.53,32,verificado
MARBOL PLAZA,2026,5,7934.28,26,verificado
MARBOL PLAZA,2026,6,511.89,2,verificado
MARCELLO S,2026,2,603.3,3,verificado
MARCELLO S,2026,3,14185.05,73,verificado
MARCELLO S,2026,4,23933.85,88,verificado
MARCELLO S,2026,5,12303.11,46,verificado
MARCIMEX,2026,1,9079.87,605,verificado
MARCIMEX,2026,2,27053.28,795,verificado
MARCIMEX,2026,3,48525.74,1260,verificado
MARCIMEX,2026,4,73622.45,1462,verificado
MARCIMEX,2026,5,52073.54,952,verificado
MARCIMEX,2026,6,3176.55,64,verificado
MAREAUTO S.A.,2026,3,29.23,3,verificado
MAREAUTO S.A.,2026,5,86.17,4,verificado
MARENOSTUM RESTAURANT,2026,2,5.92,1,verificado
MARESA,2026,4,10993.93,314,verificado
MARESA CENTER,2026,2,256.19,2,verificado
MARESA CENTER,2026,3,329.07,2,verificado
MARESA CENTER,2026,4,5641.57,406,verificado
MARESA CENTER,2026,6,280.02,1,verificado
MARIA ELISA,2026,1,73.56,1,verificado
MARIA ELISA,2026,2,225.06,3,verificado
MARIA ELISA,2026,3,144.95,2,verificado
MARIA ELISA,2026,4,179.08,3,verificado
MARIA ELISA,2026,5,238.1,4,verificado
MARIA FERNANDA SALUD Y BELLEZA,2026,2,229.12,40,verificado
MARIA FERNANDA SALUD Y BELLEZA,2026,3,349.41,61,verificado
MARIA FERNANDA SALUD Y BELLEZA,2026,4,436.38,65,verificado
MARIA FERNANDA SALUD Y BELLEZA,2026,5,396.1,59,verificado
MARIA FERNANDA SALUD Y BELLEZA,2026,6,33.57,5,verificado
MARIA MENDOZA PELUQUERIA,2026,1,54.18,8,verificado
MARIA MENDOZA PELUQUERIA,2026,2,68.97,8,verificado
MARIA MENDOZA PELUQUERIA,2026,3,66.07,8,verificado
MARIA MENDOZA PELUQUERIA,2026,4,106.24,8,verificado
MARIA MENDOZA PELUQUERIA,2026,5,109.78,9,verificado
MARIACHI MENDEZ,2026,5,11.06,1,verificado
MARIACHI SOL DE MEXICO,2026,5,511.89,2,verificado
MARIMER,2026,2,15601.07,48,verificado
MARIMER,2026,3,1248.08,5,verificado
MARIMER,2026,4,496.04,2,verificado
MARIMER,2026,5,5296.28,18,verificado
MARINELA,2026,3,658.14,4,verificado
MARINELA,2026,4,201.1,1,verificado
MARINELA,2026,5,767.84,3,verificado
MARPESIA,2026,2,300.02,1,verificado
MARPESIA,2026,4,2292.52,10,verificado
MARQUESA DELI MARKET,2026,2,10256.15,48,verificado
MARQUESA DELI MARKET,2026,3,3784.33,23,verificado
MARQUESA DELI MARKET,2026,5,3327.29,13,verificado
MARRIOTT,2026,1,1992.31,234,verificado
MARRIOTT,2026,2,3160.85,289,verificado
MARRIOTT,2026,3,4907.17,106,verificado
MARRIOTT,2026,4,1760.13,123,verificado
MARRIOTT,2026,5,3451.05,254,verificado
MARRIOTT,2026,6,260.56,22,verificado
MARRIOTT BONVOY,2026,2,402.2,2,verificado
MARRIOTT BONVOY,2026,3,658.14,4,verificado
MARRIOTT BONVOY,2026,5,511.89,2,verificado
MARSEGUROS,2026,4,248.02,1,verificado
MARTACO,2026,2,201.1,1,verificado
MARTINIZING,2026,5,280.02,1,verificado
MARUCHAN,2026,6,13.69,2,verificado
MARYSAL,2026,3,7.44,1,verificado
MAS MUSIKA,2026,6,280.02,1,verificado
MASAMI SHUSHI,2026,2,201.1,1,verificado
MASCOTAS PETSHOP,2026,2,603.3,3,verificado
MASCOT´S SALUD,2026,5,282.24,8,verificado
MASCOT´S SALUD,2026,6,164.64,5,verificado
MASCULAN,2026,2,1203.35,5,verificado
MASHPI LODGE,2026,1,318.78,46,verificado
MASTER,2026,3,208.01,1,verificado
MASTER,2026,4,2929.28,10,verificado
